"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","생성일","사진파일명","경도","위도"
"2121","0","도봉산입구 녹지대","도봉동 282-244일대","분리대","1980","8511.00000000","32851.00000000","도봉구","320",""," ","127.042394","37.6884995"
"2117","0","잠원역녹지대","잠원동118-1잠원사거리","광장녹지","0","300.00000000","0E-8","서초구","650",""," ","127.0130057","37.5134584"
"2119","0","헌능로중앙분리대","염곡사거리~내곡동","중앙분리대","0","3750.00000000","0E-8","서초구","650",""," ","127.0700626","37.4568279"
"2124","0","강동대로 녹지","강동대로(풍납사거리-둔촌","광장녹지","0","0E-8","0E-8","강동구","740",""," ","127.1277926","37.5244016"
"2127","0","수유4동녹지","수유4동113","도로변녹지","0","144.00000000","522.00000000","강북구","300",""," ","127.0119072","37.657707"
"2139","0","전농동로터리녹지대","전농동 전농로터리","광장녹지","0","398.00000000","1541.00000000","동대문구","230",""," ","127.0574758","37.5775092"
"2141","0","을지로6가녹지대","을지로6가R","광장녹지","0","516.00000000","0E-8","중구","140",""," ","127.0078045","37.56514"
"2142","0","퇴계로5가녹지대","퇴계로5가R","광장녹지","0","200.00000000","5688.00000000","중구","140",""," ","127.0023707","37.5634583"
"2143","0","자투리녹지(신사동)","신사동300-153","자투리녹지","0","236.00000000","1281.00000000","은평구","380",""," ","126.9023286","37.5916619"
"2145","0","유원아파트앞녹지대","성산2동유원A앞(하천변)","도로변녹지","0","6617.00000000","0E-8","마포구","440",""," ","126.9157424","37.5677403"
"2147","0","강동대로 분리대"," ","노변분리대","0","1991.00000000","0E-8","송파구","710",""," ","127.1341711","37.5207995"
"2148","0","구로5동공영주차장"," ","도로변녹지","0","470.00000000","0E-8","구로구","530",""," ","126.8937751","37.5048065"
"2149","0","양화교ic녹지대"," ","광장녹지","0","2665.00000000","0E-8","강서구","500",""," ","126.8785653","37.547668"
"2151","0","옥수1동497-15","옥수497-15","기타","0","26.00000000","0E-8","성동구","200",""," ","127.013967","37.5466663"
"2152","0","강동대로 녹지","강동대로(풍납사거리-둔촌","광장녹지","0","0E-8","0E-8","강동구","740",""," ","127.1248847","37.5256834"
"2154","0","잠실대교","광장동704","광장녹지","0","11077.00000000","0E-8","광진구","210",""," ","127.0871474","37.5296054"
"2155","0","푸른거리(아현초등-마포교)"," ","도로변녹지","0","1418.00000000","0E-8","마포구","440",""," ","126.956161","37.552746"
"2086","0","휘경동 194-95,98","휘경동 194-95,98","기타","0","120.00000000","370.00000000","동대문구","230",""," ","127.060734","37.5916493"
"2087","0","군자교서측 중랑천제방","용답동 240-3","하천변조경","0","420.00000000","0E-8","성동구","200",""," ","127.0704509","37.5598074"
"2088","0","낙성대"," ","도록변녹지","0","0E-8","0E-8","관악구","620",""," ","126.9588886","37.475572"
"2089","0","양천향교입구녹지대"," ","도로변녹지","0","167.00000000","0E-8","강서구","500",""," ","126.8399736","37.5717987"
"2138","0","강남대로중앙분리대","양재사거리~매헌길입구","중앙분리대","0","7200.00000000","0E-8","서초구","650",""," ","127.0381497","37.4798988"
"2131","0","국회앞지하차로","여의도","노변분리대","0","3964.00000000","0E-8","영등포구","560",""," ","126.9224862","37.523423"
"2144","0","중곡1동마을마당","중곡1동248-29","마을마당","0","614.00000000","0E-8","광진구","210",""," ","127.0766964","37.5629174"
"2090","0","여의도광장분리녹지대","여의도2번지","광장녹지","0","55095.00000000","0E-8","영등포구","560",""," ","126.920936","37.5235154"
"2092","0","구청사"," ","공공건물","0","500.00000000","2914.00000000","성북구","290",""," ","127.0166646","37.5891611"
"2074","0","위례성길 분리대"," "," ","0","0E-8","0E-8","송파구","710",""," ","127.1248755","37.5130925"
"2078","0","연대앞휴게소","창천동","간이휴게소","1999","200.00000000","15.00000000","서대문구","410",""," ","126.9342601","37.5599108"
"2083","0","공릉2 마을마당"," ","휴게소","0","1615.00000000","2562.00000000","노원구","350",""," ","127.0846501","37.6252796"
"2093","0","봉천복개로"," ","노변분리","0","9489.00000000","0E-8","관악구","620",""," ","126.9470091","37.4826287"
"2095","0","미아5동자투리녹지","미아동1261외3개소","도로변녹지","0","190.00000000","655.00000000","강북구","300",""," ","127.0250146","37.6159175"
"2096","0","독막길걷고싶은거리","2003.하반기 완공예정"," ","0","0E-8","0E-8","마포구","440",""," ","126.9470687","37.5429063"
"2097","0","목동교통광장","목동 812-6","일반녹지","0","1100.00000000","0E-8","양천구","470",""," ","126.8637629","37.5301703"
"2099","0","낙성대"," ","도록변녹지","0","0E-8","0E-8","관악구","620",""," ","126.9592685","37.4738365"
"2100","0","서초ic녹지대","서초동","광장녹지","0","41580.00000000","0E-8","서초구","650",""," ","127.025264","37.4838377"
"2103","0","백제고분로 분리대"," ","중앙분리대","0","14022.00000000","0E-8","송파구","710",""," ","127.0781239","37.5128288"
"2105","0","가좌로지선","상암동633","수벽","0","900.00000000","0E-8","마포구","440",""," ","126.8800691","37.5854008"
"2034","0","휘경2동 마을마당","휘경2동 49-308","간이휴게소","0","1300.00000000","1602.00000000","동대문구","230",""," ","127.0717361","37.584636"
"2035","0","이촌동길","이촌동","수벽","0","350.00000000","0E-8","용산구","170",""," ","126.9664918","37.5224144"
"2036","0","답십리1동쉼터","답십리1동192-13","간이휴게소","0","79.00000000","217.00000000","동대문구","230",""," ","127.0549166","37.5706826"
"2037","0","옥수2동(극동아파트앞인도)","옥수2동(극동아파트앞인도)","기타","0","26.00000000","0E-8","성동구","200",""," ","127.0121307","37.54269"
"2038","0","명일동 상업지구내 녹지","명일동47-11 일대","광장녹지","0","3074.00000000","0E-8","강동구","740",""," ","127.1553398","37.5526877"
"2039","0","봉천복개로"," ","노변분리","0","9489.00000000","0E-8","관악구","620",""," ","126.939108","37.4846593"
"2091","0","영등포ic"," ","도로변녹지","0","16145.00000000","0E-8","영등포구","560",""," ","126.9138203","37.5198217"
"2071","0","가락사거리녹지대"," ","도로변녹지","0","37080.00000000","0E-8","송파구","710",""," ","127.1139288","37.4966765"
"2080","0","우이광장녹지대","우이동광장","광장녹지","0","380.00000000","1452.00000000","강북구","300",""," ","127.0120512","37.6641677"
"2101","0","양화교앞","양평2동","하천변조경","0","18000.00000000","0E-8","영등포구","560",""," ","126.8788134","37.5529888"
"2041","0","잠원역수벽","잠원역~경원중","수벽","0","200.00000000","0E-8","서초구","650",""," ","127.0104389","37.5125017"
"2042","0","홍대앞걷고싶은거리","2003.하반기 완공예정"," ","0","0E-8","0E-8","마포구","440",""," ","126.9243597","37.5558392"
"2043","0","음식물재활용센타","고덕동368","건물조경","0","1200.00000000","0E-8","강동구","740",""," ","127.1585382","37.56915"
"2045","0","용산선철로연변"," ","수벽","0","1126.00000000","0E-8","마포구","440",""," ","126.924559","37.5600023"
"2046","0","이문2동 342-3","이문2동 342-3","기타","0","46.00000000","213.00000000","동대문구","230",""," ","127.056176","37.5925005"
"2029","0","왕십리1동 31-4","왕십리1동 31-4","기타","0","28.00000000","0E-8","성동구","200",""," ","127.0245866","37.5696738"
"2032","0","보라매공원정문앞녹지대","신대방 370-3","도로변녹지","0","372.00000000","0E-8","동작구","590",""," ","126.9174888","37.4972834"
"2047","0","성산대교I.C"," ","광장녹지","0","35544.00000000","0E-8","마포구","440",""," ","126.8927992","37.558769"
"2049","0","독산지역(안천)녹지","독산동 1094번지 6필지","완충녹지","1990","24938.00000000","0E-8","금천구","540",""," ","126.8853266","37.4629778"
